线号,行别,公里区间,样本量,max_acc均值,max_accP95,max_accP99,三级及以上占比,车速均值,覆盖天数,z_max_acc均值,z_max_accP95,z_三级及以上占比,原始风险分,样本权重,风险分,质量风险指数,质量等级
3001,上行,3067,9365,0.05996903363587827,0.09,0.1,0.001388147357180993,118.81366791243994,100,2.7258428372789534,0.6740241089373491,0.45898405433911427,1.0306278409561114,1.0,1.0306278409561114,90.38,E(很差)
3001,上行,3068,4427,0.05111136209622769,0.08,0.09,0.0,127.40185227016038,100,-0.6961846185363815,-0.3264804277665268,-0.2872147846901682,-0.39060485515140814,1.0,-0.39060485515140814,22.78,B(良)
3001,上行,3069,7095,0.05624524312896406,0.08,0.1,0.0009866102889358704,130.1199436222692,99,1.2872126851760661,-0.3264804277665268,0.24313773759057788,0.13866273616126795,1.0,0.13866273616126795,61.77,D(差)
3001,上行,3070,4634,0.05187311178247734,0.08,0.09,0.00043159257660768235,129.02093223996548,100,-0.40189414624507785,-0.3264804277665268,-0.055212124502616984,-0.27374609564625957,1.0,-0.27374609564625957,30.38,B(良)
3001,上行,3071,2025,0.05030123456790123,0.07,0.1,0.0,127.41679012345679,100,-1.0091651385562426,-1.3269849644704026,-0.2872147846901682,-1.0034784543425121,1.0,-1.0034784543425121,4.56,A(优)
3001,上行,3072,178,0.055224719101123594,0.1,0.1,0.0,127.5,42,0.8929486591330437,1.6745286456412265,-0.2872147846901682,1.0277767907567414,0.1263307310149042,0.12983979329645137,60.51,D(差)
3001,上行,3073,476,0.05397058823529412,0.1,0.1,0.004201680672268907,119.05882352941177,97,0.4084341637780683,1.6745286456412265,1.9713993483121686,1.4955274249363304,0.33782824698367636,0.5052314082822521,78.99,D(差)
3001,上行,3074,1473,0.051683638832315,0.08,0.1,0.002036659877800407,133.36795655125593,100,-0.4750941553769855,-0.3264804277665268,0.807592065930109,-0.07268504986445962,1.0,-0.07268504986445962,43.8,C(中)
3001,上行,3075,1366,0.05509516837481699,0.09,0.1,0.0007320644216691069,129.38579795021963,100,0.8428986950586808,0.6740241089373491,0.10630656498373822,0.5658696401732127,0.9694819020581973,0.548600375072114,80.51,E(很差)
3001,上行,3076,3002,0.051219187208527646,0.08,0.1,0.0,125.59826782145237,100,-0.6545280169041012,-0.3264804277665268,-0.2872147846901682,-0.3822735348249521,1.0,-0.3822735348249521,23.54,B(良)
3001,上行,3077,3564,0.04842592592592593,0.07,0.1,0.0002805836139169473,127.3459595959596,100,-1.7336622744277337,-1.3269849644704026,-0.1363870171103264,-1.11067093962185,1.0,-1.11067093962185,2.03,A(优)
3001,上行,3078,5336,0.0611188155922039,0.09,0.11,0.0007496251874062968,120.50356071964018,100,3.1700437093856397,0.6740241089373491,0.115746357479664,1.0336585911625862,1.0,1.0336585911625862,90.63,E(很差)
3001,上行,3079,4781,0.05879313951056265,0.09,0.1,0.0006274837900020916,123.06212089521021,100,2.271553923544774,0.6740241089373491,0.05008922931603729,0.8375463519535061,1.0,0.8375463519535061,86.58,E(很差)
3001,上行,3080,10389,0.05889305996727308,0.09,0.1,9.62556550197324e-05,124.40725767638848,100,2.310156681022298,0.6740241089373491,-0.23547254158163455,0.7738764607245932,1.0,0.7738764607245932,84.56,E(很差)
